NO,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,変更内容,column_8,SubNo,チェック項目（2023）,version,sheet,source_url
68,データエンジニアリング,データ蓄積,分散技術,★★,HadoopやSparkのメリット・デメリットを理解し、HadoopやSparkにて管理すべきデータを選定できる,,,5,HadoopやSparkのメリット・デメリットを理解し、HadoopやSparkにて管理すべきデータを選定できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
69,データエンジニアリング,データ蓄積,分散技術,★★,KVSの特性（集計・ソートが苦手、データの一貫性保証など）を理解し、KVSがデータストア要件を満たすかを判断できる,,,6,KVSの特性（集計・ソートが苦手、データの一貫性保証など）を理解し、KVSがデータストア要件を満たすかを判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
70,データエンジニアリング,データ蓄積,分散技術,★★,HadoopやSparkの分散アーキテクチャを理解し、大容量データ処理の設計やパフォーマンスチューニングができる,変更,,7,HadoopやSparkの分散アーキテクチャを理解し、大容量データ処理の設計やパフォーマンスチューニングができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
71,データエンジニアリング,データ蓄積,クラウド,★,クラウド上のオブジェクトストレージサービス（Amazon S3、Azure Blob Storage、Google Cloud Storage、IBM Cloud Object Storageなど）に接続しデータを格納できる,,,8,クラウド上のオブジェクトストレージサービス（Amazon S3、Azure Blob Storage、Google Cloud Storage、IBM Cloud Object Storageなど）に接続しデータを格納できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
72,データエンジニアリング,データ蓄積,クラウド,★★,クラウド上のDWHサービス（Amazon Redshift、Google BigQuery、IBM Db2 Warehouse、Microsoft Fabric Synapse Data Warehouse等）にロードして分析で利用できる,変更,,9,クラウド上のDWHサービス（Amazon Redshift、Google BigQuery、IBM Db2 Warehouse、Azure Synapse Analytics等）にロードして分析で利用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
73,データエンジニアリング,データ蓄積,クラウド,★★★,クラウド上のデータストアサービスが対象システムの機能要件・非機能要件に合致するか評価を行い、採用可否を判断できる,,,10,クラウド上のデータストアサービスが対象システムの機能要件・非機能要件に合致するか評価を行い、採用可否を判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
74,データエンジニアリング,データ蓄積,リアルタイム処理,★★★,リアルタイムに入力されるストリームデータから指定条件のイベントを即時に抽出する複合イベント処理（CEP）を実現するサーバー環境・構成を設計できる,,,11,リアルタイムに入力されるストリームデータから指定条件のイベントを即時に抽出する複合イベント処理（CEP）を実現するサーバー環境・構成を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
75,データエンジニアリング,データ蓄積,リアルタイム処理,★★★,Apache Kafka 、Apache Flinkなどのストリーム処理プラットフォームを活用して、入力データをリアルタイムに処理して連携できる,,,12,Apache Kafka 、Apache Storm、Apache Flinkなどのストリーム処理プラットフォームを活用して、入力データをリアルタイムに処理して連携できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
76,データエンジニアリング,データ蓄積,リアルタイム処理,★★★,適切なライブラリや実行環境を選択して、ストリーム処理やイベント駆動アプリケーションを実装できる,,,13,適切なライブラリや実行環境を選択して、ストリーム処理やイベント駆動アプリケーションを実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
77,データエンジニアリング,データ蓄積,キャッシュ技術,★★★,基盤設計において、どこのシステム要素にRedisやmemcachedなどのキャッシュ機能を採用すると処理が高速化されるか判断できる,,,14,基盤設計において、どこのシステム要素にRedisやmemcachedなどのキャッシュ機能を採用すると処理が高速化されるか判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,データエンジニアリング,データ蓄積,データ蓄積技術,★,データマートやDWHなどの集中型データ基盤と、データファブリックやデータメッシュなどの分散型データ基盤の設計思想の違いを理解し、ユースケースや組織構造に応じて適切に選択できる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
78,データエンジニアリング,データ蓄積,データ蓄積技術,★★,データストア選定の際にリレーショナルDBだけでなく、要件に応じてNoSQL、時系列DB、グラフDB、ベクトルDBなどの適切なデータ蓄積機能を選定できる,,,15,データストア選定の際にリレーショナルDBだけでなく、要件に応じてNoSQL、時系列DB、グラフDB、ベクトルDBなどの適切なデータ蓄積機能を選定できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,データエンジニアリング,データ蓄積,データ蓄積技術,★★,データカタログやデータリネージ管理ソリューションを活用して、分析データのメタデータや由来、履歴を一元的に管理し、データ可視化とガバナンス強化を実現できる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,データエンジニアリング,データ蓄積,データ蓄積技術,★★★,ベクトルDBにおいて、適切なインデックス構造の選択、パラメータチューニング、データの次元削減、ベクトル正規化技術に加え、元文書の品質管理や整備などのデータマネジメントなどを利用し、パフォーマンスを最適化できる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
79,データエンジニアリング,データ蓄積,検索技術,★★,Apache Solr、Elasticsearch、OpenSearchなどを用いて、全文検索によるテキストキーワード検索用のDBを構築することができる,変更,,16,Apache Solr、Elasticsearch、OpenSearchなどの全文検索エンジンを用いて、テキストキーワードやログの検索用DBを構築することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
80,データエンジニアリング,データ加工,フィルタリング処理,★,表計算ソフトを用いて、フィルタ・ソート・欠損補完・ランダム抽出・集計・演算や、データ変換（数値データの日時データ化や都道府県名からのジオコード変換など）といった基本的なデータ加工処理ができる,変更,,1,表計算ソフトのデータファイルに対して、条件を指定してフィルタリングできる（特定値に合致する・もしくは合致しないデータの抽出、特定範囲のデータの抽出、部分文字列の抽出など）,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
81,データエンジニアリング,データ加工,フィルタリング処理,★,正規表現を活用して条件に合致するデータを抽出できる（メールアドレスの書式を満たしているか判定をするなど）,,,2,正規表現を活用して条件に合致するデータを抽出できる（メールアドレスの書式を満たしているか判定をするなど）,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
82,データエンジニアリング,データ加工,ソート処理,★,（削除）80にマージ,削除,,3,表計算ソフトのデータファイルに対して、目的の並び替えになるように複数キーのソート条件を設定ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
83,データエンジニアリング,データ加工,結合処理,★,表計算ソフトのデータファイルに対して、単一条件による内部結合、外部結合、自己結合ができ、UNION処理ができる,,,4,表計算ソフトのデータファイルに対して、単一条件による内部結合、外部結合、自己結合ができ、UNION処理ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
84,データエンジニアリング,データ加工,前処理,★,（削除）80にマージ,削除,,5,表計算ソフトのデータファイルに対して、NULL値や想定外・範囲外のデータを持つレコードを取り除く、または既定値に変換できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
85,データエンジニアリング,データ加工,前処理,★★,フラットファイルやバイナリファイルに対するデータロードの前処理（クレンジング操作、禁則処理やバイナリ処理）ができる,,,6,フラットファイルやバイナリファイルに対するデータロードの前処理（クレンジング操作、禁則処理やバイナリ処理）ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
86,データエンジニアリング,データ加工,前処理,★★,線形補間など、複数のレコードを考慮したクレンジング処理ができる,,,7,線形補間など、複数のレコードを考慮したクレンジング処理ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
87,データエンジニアリング,データ加工,マッピング処理,★,（削除）80にマージ,削除,,8,表計算ソフトのデータファイルに対して、規定されたリストと照合して変換する、都道府県名からジオコードに変換するなど、ある値を規定の別の値で表現できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
88,データエンジニアリング,データ加工,マッピング処理,★★,データ定義や実際の観測データの状況をもとに、一般的な名寄せ処理を設計・実装できる,,,9,データ定義や実際の観測データの状況をもとに、一般的な名寄せ処理を設計・実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
89,データエンジニアリング,データ加工,サンプリング処理,★,（削除）80にマージ,削除,,10,表計算ソフトのデータファイルに対して、ランダムまたは一定間隔にレコードを抽出できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
90,データエンジニアリング,データ加工,集計処理,★,（削除）80にマージ,削除,,11,表計算ソフトのデータファイルのデータを集計して、合計や最大値、最小値、レコード数を算出できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
91,データエンジニアリング,データ加工,変換・演算処理,★,（削除）80にマージ,削除,,12,表計算ソフトのデータファイルのデータに対する四則演算ができ、数値データを日時データに変換するなど別のデータ型に変換できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
92,データエンジニアリング,データ加工,変換・演算処理,★,変換元データと変換先データの文字コードが異なる場合、変換処理のコードがかける,,,13,変換元データと変換先データの文字コードが異なる場合、変換処理のコードがかける,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
93,データエンジニアリング,データ加工,変換・演算処理,★★,数十億レコードの大容量データに対して効率的な処理を行うために、Parquetなどのカラムナ（列指向）ストレージ形式のファイルに変換してデータを管理できる,,,14,数十億レコードの大容量データに対して効率的な処理を行うために、Parquetなどのカラムナ（列指向）ストレージ形式のファイルに変換してデータを管理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
94,データエンジニアリング,データ加工,変換・演算処理,★★,手書き文字や画像などの非構造データを、OCRや画像認識ライブラリ、画像認識モデルなどの変換・処理プログラムを用いて分析可能な構造化データに変換できる,変更,,15,手書き文字や画像などの非構造データを、OCRや画像認識ライブラリ、画像認識モデルなどを用いて分析可能な構造化データに変換できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
95,データエンジニアリング,データ共有,データ出力,★,加工・分析処理結果をCSV、XML、JSON、Excelなどの指定フォーマット形式に変換してエクスポートできる,,,1,加工・分析処理結果をCSV、XML、JSON、Excelなどの指定フォーマット形式に変換してエクスポートできる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
96,データエンジニアリング,データ共有,データ出力,★,加工・分析処理結果を、接続先DBのテーブル仕様に合わせてレコード挿入できる,,,2,加工・分析処理結果を、接続先DBのテーブル仕様に合わせてレコード挿入できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
97,データエンジニアリング,データ共有,データ展開,★,RESTなどのデータ取得用Web APIを用いて、必要なデータを取得できる,変更,,3,RESTやSOAPなどのデータ取得用Web APIを用いて、必要なデータを取得できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
98,データエンジニアリング,データ共有,データ展開,★★,利用者の要件に合致したレポート（図、表）を、PDFなどの印刷用フォーマットで出力する変換機能を設計できる,変更,,4,利用者の要件に合致したレポート（図、表）を、PDFやPostScriptなどの印刷用フォーマットで出力する変換機能を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
99,データエンジニアリング,データ共有,データ展開,★★,BIツール用のサーバーを構築し、単一データソースのレポート用データマートを設計・構築できる,,,5,BIツール用のサーバーを構築し、単一データソースのレポート用データマートを設計・構築できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
100,データエンジニアリング,データ共有,データ展開,★★,データストア上のデータをメールやメッセージを用いてプッシュ配信するシステムのサーバー・ネットワーク・ソフトウェアの構成を設計できる,,,6,データストア上のデータをメールやメッセージを用いてプッシュ配信するシステムのサーバー・ネットワーク・ソフトウェアの構成を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
101,データエンジニアリング,データ共有,データ展開,★★,Webアプリケーションの実装において、WebSocketを用いてクライアント側にリアルタイムにデータ提供できる機能を設計できる,,,7,Webアプリケーションの実装において、WebSocketを用いてクライアント側にリアルタイムにデータ提供できる機能を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
102,データエンジニアリング,データ共有,データ展開,★★,RSSや業界標準フォーマットなど、要件に合致したデータ形式・配信形式で情報提供するシステムのインターフェースを設計できる,変更,,8,RSSや業界標準フォーマットなど要件に合致したデータ形式・配信形式で、情報提供するシステムのインターフェースを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
103,データエンジニアリング,データ共有,データ展開,★★,RESTなどのWeb APIを用いて、必要なデータを提供するシステムの公開インターフェースを設計できる,変更,,9,RESTやSOAPなどのWeb APIを用いて、必要なデータを提供するシステムの公開インターフェースを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
104,データエンジニアリング,データ共有,データ連携,★,SFTPサーバー、ファイル共有サーバーなどから必要なデータファイルをダウンロードして、Excelなどの表計算ソフトに取り込み活用できる,変更,,10,FTPサーバー、ファイル共有サーバーなどから必要なデータファイルをダウンロードして、Excelなどの表計算ソフトに取り込み活用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
105,データエンジニアリング,データ共有,データ連携,★,BIツールからデータベース上のDBテーブルを参照して新規レポートやダッシュボードを作成し、指定のユーザグループに公開できる,,,11,BIツールからデータベース上のDBテーブルを参照して新規レポートやダッシュボードを作成し、指定のユーザグループに公開できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
106,データエンジニアリング,データ共有,データ連携,★,BIツールの自由検索機能を活用し、必要なデータを抽出して、グラフを作成できる,,,12,BIツールの自由検索機能を活用し、必要なデータを抽出して、グラフを作成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
107,データエンジニアリング,データ共有,データ連携,★★,連携対象システムの仕様に合わせて、ETLツールなどを用いてデータ変換、ファイル転送処理を実装できる,変更,,13,連携対象システムの仕様に合わせて、ETLツールを用いたデータ変換、ファイル転送処理を実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,データエンジニアリング,データ共有,データ連携,★★,データクリーンルームを活用し、複数の組織や部門間において、個人情報や機密データを保護しながら、安全かつ適切にデータの分析および共有を行うことができる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
108,データエンジニアリング,データ共有,データ連携,★★★,他データや他システム連携を容易にする目的で、適切なオープンデータ系の標準フォーマット（IMI：Infrastructure for Multilayer Interoperability[情報共有基盤]に記載のデータモデルや、GTFS：General Transit Feed Specificationなど）を用いて、データモデルを設定できる,,,14,他データや他システム連携を容易にする目的で、適切なオープンデータ系の標準フォーマット（IMI：Infrastructure for Multilayer Interoperability[情報共有基盤]に記載のデータモデルや、GTFS：General Transit Feed Specificationなど）を用いて、データモデルを設定できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
109,データエンジニアリング,データ共有,データ連携,★★★,ESBやAPI Gatewayなどのデータ連携サービスを活用してシステム間のデータ連携（データ配信・交換）を行うインターフェースを設計できる,,,15,ESBやAPI Gatewayなどのデータ連携サービスを活用してシステム間のデータ連携（データ配信・交換）を行うインターフェースを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
110,ITエンジニアリング,プログラミング,基礎プログラミング,★,小規模な構造化データ（CSV、RDBなど）を扱うデータ処理（抽出・加工・分析など）を、設計書に基づき、プログラム実装できる,,,1,小規模な構造化データ（CSV、RDBなど）を扱うデータ処理（抽出・加工・分析など）を、設計書に基づき、プログラム実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
111,ITエンジニアリング,プログラミング,基礎プログラミング,★,プログラム言語や環境によって、変数のデータ型ごとに確保するメモリサイズや自動型変換の仕様が異なることを理解し、プログラムの設計・実装ができる,,,2,プログラム言語や環境によって、変数のデータ型ごとに確保するメモリサイズや自動型変換の仕様が異なることを理解し、プログラムの設計・実装ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
112,ITエンジニアリング,プログラミング,基礎プログラミング,★,データ処理プログラミングのため分岐や繰り返しを含んだフローチャートを作成できる,,,3,データ処理プログラミングのため分岐や繰り返しを含んだフローチャートを作成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
113,ITエンジニアリング,プログラミング,基礎プログラミング,★,オブジェクト指向言語の基本概念を理解し、スーパークラス（親クラス）を継承して、スーパークラスのプロパティやメソッドを適切に活用できる,,,4,オブジェクト指向言語の基本概念を理解し、スーパークラス（親クラス）を継承して、スーパークラスのプロパティやメソッドを適切に活用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
114,ITエンジニアリング,プログラミング,基礎プログラミング,★,ホワイトボックステストとブラックボックステストの違いを理解し、テストケースの作成とテストを実施できる,,,5,ホワイトボックステストとブラックボックステストの違いを理解し、テストケースの作成とテストを実施できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
115,ITエンジニアリング,プログラミング,拡張プログラミング,★,JSON、XMLなど標準的なフォーマットのデータを受け渡すために、APIを使用したプログラムを設計・実装できる,,,6,JSON、XMLなど標準的なフォーマットのデータを受け渡すために、APIを使用したプログラムを設計・実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
116,ITエンジニアリング,プログラミング,拡張プログラミング,★,外部ライブラリが提供する関数の引数や戻り値の型や仕様を調べて、適切に呼び出すことができる,,,7,外部ライブラリが提供する関数の引数や戻り値の型や仕様を調べて、適切に呼び出すことができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
117,ITエンジニアリング,プログラミング,拡張プログラミング,★★,データオーケストレーションツール（Airflow、Dagster、Prefect 2など）を用いて機械学習で必要な複数のジョブやタスクを組合せてパイプライン化を実現できる,変更,,8,パイプラインライブラリ（Luigiなど）やワークフロー管理ツール（Airflow、Metaflowなど）を用いて機械学習で必要な複数のジョブやタスクを組合せて分析の自動化や効率化を実現できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
118,ITエンジニアリング,プログラミング,拡張プログラミング,★★,TensorFlow、PyTorch、JAXなどのフレームワークを用いてニューラルネットワークのモデルを実装できる,,,9,TensorFlow、PyTorch、JAXなどのフレームワークを用いてニューラルネットワークのモデルを実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
119,ITエンジニアリング,プログラミング,拡張プログラミング,★★,SNSから抽出した非構造化データを、適切な言語やライブラリを選んでデータ処理のプログラム実装ができる,,,10,SNSから抽出した非構造化データを、適切な言語やライブラリを選んでデータ処理のプログラム実装ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
120,ITエンジニアリング,プログラミング,拡張プログラミング,★★★,CUDAやOpenCLを活用してGPU上で稼働する並列プログラミングを実装できる,,,11,CUDAやOpenCLを活用してGPU上で稼働する並列プログラミングを実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
121,ITエンジニアリング,プログラミング,拡張プログラミング,★★★,IoTデバイスに関連する各分野におけるデータ取得標準（HEMS、Matterなど）を理解しており、今後の技術動向や規制についてのリスクを提示できる,,,12,IoTデバイスに関連する各分野におけるデータ取得標準（HEMS、Matterなど）を理解しており、今後の技術動向や規制についてのリスクを提示できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
122,ITエンジニアリング,プログラミング,拡張プログラミング,★★★,単一サーバーの物理メモリを超える複数のデータソースを組み合わせたデータ処理において、分散処理アーキテクチャやデータのインメモリ処理の特性を意識してプログラム設計ができる,,,13,単一サーバーの物理メモリを超える複数のデータソースを組み合わせたデータ処理において、分散処理アーキテクチャやデータのインメモリ処理の特性を意識してプログラム設計ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
123,ITエンジニアリング,プログラミング,AIサービス活用,★,他サービスが提供する分析機能や学習済み予測モデルをWeb API（REST）で呼び出し分析結果を活用することができる,,,14,他サービスが提供する分析機能や学習済み予測モデルをWeb API（REST）で呼び出し分析結果を活用することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
124,ITエンジニアリング,プログラミング,AIサービス活用,★,目的に応じ音声認識関連のAPIを選択し、適用できる（Speech to Text など）,,,15,目的に応じ音声認識関連のAPIを選択し、適用できる（Speech to Text など）,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
125,ITエンジニアリング,プログラミング,AIサービス活用,★★,自然言語処理において、既存のAPI化したクラウドサービスなどを目的に即して、選定・活用できる,,,16,自然言語処理において、既存のAPI化したクラウドサービスなどを目的に即して、選定・活用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
126,ITエンジニアリング,プログラミング,AIサービス活用,★★,画像の処理や解析において、既存のAPI化したクラウドサービスなどを目的に即して、選定・活用できる,,,17,画像の処理や解析において、既存のAPI化したクラウドサービスなどを目的に即して、選定・活用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
127,ITエンジニアリング,プログラミング,コーディング支援,★,AIを用いたソースコードのレビュー機能・チェック機能を活用してプログラムのバグ修正や性能改善を実現できる,,,18,AIを用いたソースコードのレビュー機能・チェック機能を活用してプログラムのバグ修正や性能改善を実現できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
128,ITエンジニアリング,プログラミング,アルゴリズム,★,入れ子の繰り返し処理（二重ループ）など計算負荷の高いロジックを特定しアルゴリズムの改善策を検討できる,,,19,入れ子の繰り返し処理（二重ループ）など計算負荷の高いロジックを特定しアルゴリズムの改善策を検討できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
129,ITエンジニアリング,プログラミング,アルゴリズム,★★,システム化対象業務のビジネスロジックを理解して、外部ライブラリやAPIを有効に活用し、プログラムを実装することができる,,,20,システム化対象業務のビジネスロジックを理解して、外部ライブラリやAPIを有効に活用し、プログラムを実装することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
130,ITエンジニアリング,プログラミング,アルゴリズム,★★★,論文や書籍に記載された計算式や機械学習ロジックを理解してプログラム実装できる,,,21,論文や書籍に記載された計算式や機械学習ロジックを理解してプログラム実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
131,ITエンジニアリング,プログラミング,分析プログラム,★,Jupyter Notebook（Pythonなど）やRStudio（R）などの対話型の開発環境を用いて、データの分析やレポートの作成ができる,,,22,Jupyter Notebook（Pythonなど）やRStudio（R）などの対話型の開発環境を用いて、データの分析やレポートの作成ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
132,ITエンジニアリング,プログラミング,分析プログラム,★,クラウド上の統合開発環境（AWS SageMaker Studio Lab、Google Colab、Azure Data Studio、IBM watsonx.ai Studioなど）で提供されるNotebookを用いてPythonやRのコードを開発して実行できる,変更,,23,クラウド上の統合開発環境（AWS SageMaker Studio Lab、Google Colab、Azure Data Studio、IBM Watson Studioなど）で提供されるNotebookを用いてPythonやRのコードを開発して実行できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
133,ITエンジニアリング,プログラミング,分析プログラム,★★,分析プログラムのロジックと処理手順を理解した上で正しい分析結果を出力しているか検証ができる,,,24,分析プログラムのロジックと処理手順を理解した上で正しい分析結果を出力しているか検証ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
134,ITエンジニアリング,プログラミング,分析プログラム,★★,比較的シンプルな分析課題において、クラウド、SaaS分析環境を用いてデータインポートから加工、集計、アウトプットまでの一連の実装ができる,,,25,比較的シンプルな分析課題において、クラウド、SaaS分析環境を用いてデータインポートから加工、集計、アウトプットまでの一連の実装ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
135,ITエンジニアリング,プログラミング,SQL,★,SQLの構文を一通り知っていて、記述・実行できる（DML・DDLの理解、各種JOINの使い分け、集計関数とGROUP BY、CASE文を使用した縦横変換、副問合せやEXISTSの活用など）,,,26,SQLの構文を一通り知っていて、記述・実行できる（DML・DDLの理解、各種JOINの使い分け、集計関数とGROUP BY、CASE文を使用した縦横変換、副問合せやEXISTSの活用など）,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
136,ITエンジニアリング,プログラミング,SQL,★★,RDBにおける分析関数の構文と挙動を理解し、分析関数を用いて複雑な副問合せや自己結合を解消できる,,,27,RDBにおける分析関数の構文と挙動を理解し、分析関数を用いて複雑な副問合せや自己結合を解消できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
